date,exercise_name,set_index,reps,weight,tempo,rest,rpe,notes
2023-01-12,Pompe,1,8,10.5,,,,
2023-01-12,Pompe,2,7,10.5,,,,
2023-01-12,Pompe,3,7,10.5,,,,
2023-01-12,Pompe,4,8,10.5,,,,
2023-01-12,Pompe_I,1,7,5.7,,,,
2023-01-12,Pompe_I,2,7,5.7,,,,
2023-01-12,Pompe_I,3,5,5.7,,,,
2023-01-12,Pompe_I,4,5,5.7,,,,
2023-01-20,Pompe,1,10,10.5,,,,
2023-01-20,Pompe,2,9,10.5,,,,
2023-01-20,Pompe,3,8,10.5,,,,
2023-01-20,Pompe,4,7,10.5,,,,
2023-01-20,Pompe_I,1,8,5.7,,,,
2023-01-20,Pompe_I,2,7,5.7,,,,
2023-01-20,Pompe_I,3,6,5.7,,,,
2023-01-20,Pompe_I,4,6,5.7,,,,
2023-01-21,Traction_A,1,7.5,5.7,,,,
2023-01-21,Traction_A,2,8,5.7,,,,
2023-01-21,Traction_A,3,7.5,5.7,,,,
2023-01-21,Traction_A,4,7.5,5.7,,,,
2023-01-21,Traction_P,1,6,5.7,,,,
2023-01-21,Traction_P,2,6,5.7,,,,
2023-01-21,Traction_P,3,4,5.7,,,,
2023-01-21,Traction_P,4,4,5.7,,,,
2023-01-25,Pompe,1,10,10.5,,,,
2023-01-25,Pompe,2,10,10.5,,,,
2023-01-25,Pompe,3,9.5,10.5,,,,
2023-01-25,Pompe,4,7,10.5,,,,
2023-01-25,Pompe_I,1,9,5.7,,,,
2023-01-25,Pompe_I,2,6,5.7,,,,
2023-01-25,Pompe_I,3,6,5.7,,,,
2023-01-25,Pompe_I,4,5,5.7,,,,
2023-01-26,Traction_A,1,8.5,5.7,,,,
2023-01-26,Traction_A,2,9,5.7,,,,
2023-01-26,Traction_A,3,8,5.7,,,,
2023-01-26,Traction_A,4,8,5.7,,,,
2023-01-26,Traction_P,1,7,5.7,,,,
2023-01-26,Traction_P,2,6,5.7,,,,
2023-01-26,Traction_P,3,5,5.7,,,,
2023-01-26,Traction_P,4,4.5,5.7,,,,
2023-01-30,Pompe,1,10,10.5,,,,
2023-01-30,Pompe,2,11,10.5,,,,
2023-01-30,Pompe,3,10,10.5,,,,
2023-01-30,Pompe,4,8,10.5,,,,
2023-01-30,Pompe_I,1,8,5.7,,,,
2023-01-30,Pompe_I,2,7,5.7,,,,
2023-01-30,Pompe_I,3,7,5.7,,,,
2023-01-30,Pompe_I,4,6,5.7,,,,
2023-02-02,Traction_A,1,10,5.7,,,,
2023-02-02,Traction_A,2,9,5.7,,,,
2023-02-02,Traction_A,3,8,5.7,,,,
2023-02-02,Traction_A,4,8,5.7,,,,
2023-02-02,Traction_P,1,7,5.7,,,,
2023-02-02,Traction_P,2,6,5.7,,,,
2023-02-02,Traction_P,3,5,5.7,,,,
2023-02-02,Traction_P,4,3,5.7,,,,
2023-02-06,Pompe,1,11,10.5,,,,
2023-02-06,Pompe,2,10,10.5,,,,
2023-02-06,Pompe,3,10,10.5,,,,
2023-02-06,Pompe,4,8.5,10.5,,,,
2023-02-06,Pompe_I,1,10,5.7,,,,
