date,exercise_name,set_index,reps,weight,tempo,rest,rpe,notes
2023-02-06,Pompe_I,2,8,5.7,,,,
2023-02-06,Pompe_I,3,8,5.7,,,,
2023-02-06,Pompe_I,4,7,5.7,,,,
2023-02-07,Traction_A,1,8,8.1,,,,
2023-02-07,Traction_A,2,7.5,8.1,,,,
2023-02-07,Traction_A,3,6.5,8.1,,,,
2023-02-07,Traction_A,4,7,8.1,,,,
2023-02-07,Traction_P,1,8,5.7,,,,
2023-02-07,Traction_P,2,6,5.7,,,,
2023-02-07,Traction_P,3,5,5.7,,,,
2023-02-07,Traction_P,4,4.5,5.7,,,,
2023-02-13,Pompe,1,9,12.9,,,,
2023-02-13,Pompe,2,7.5,12.9,,,,
2023-02-13,Pompe,3,7,12.9,,,,
2023-02-13,Pompe,4,6.5,12.9,,,,
2023-02-13,Pompe_I,1,11,6.9,,,,
2023-02-13,Pompe_I,2,8,6.9,,,,
2023-02-13,Pompe_I,3,7.5,6.9,,,,
2023-02-13,Pompe_I,4,6.5,6.9,,,,
2023-02-14,Traction_A,1,8,8.1,,,,
2023-02-14,Traction_A,2,8,8.1,,,,
2023-02-14,Traction_A,3,6.5,8.1,,,,
2023-02-14,Traction_A,4,5,8.1,,,,
2023-02-14,Traction_P,1,8,5.7,,,,
2023-02-14,Traction_P,2,6.5,5.7,,,,
2023-02-14,Traction_P,3,5.5,5.7,,,,
2023-02-14,Traction_P,4,5,5.7,,,,
2023-02-16,Pompe,1,9,12.9,,,,
2023-02-16,Pompe,2,8,12.9,,,,
2023-02-16,Pompe,3,8,12.9,,,,
2023-02-16,Pompe,4,7,12.9,,,,
2023-02-16,Pompe_I,1,9,8.1,,,,
2023-02-16,Pompe_I,2,7,8.1,,,,
2023-02-16,Pompe_I,3,6.5,8.1,,,,
2023-02-16,Pompe_I,4,6,8.1,,,,
2023-02-21,Traction_A,1,8,8.1,,,,
2023-02-21,Traction_A,2,8,8.1,,,,
2023-02-21,Traction_A,3,7,8.1,,,,
2023-02-21,Traction_A,4,5.5,8.1,,,,
2023-02-21,Traction_P,1,8.5,5.7,,,,
2023-02-21,Traction_P,2,6,5.7,,,,
2023-02-21,Traction_P,3,6,5.7,,,,
2023-02-21,Traction_P,4,4.5,5.7,,,,
2023-02-22,Pompe,1,10,14.1,,,,
2023-02-22,Pompe,2,9,14.1,,,,
2023-02-22,Pompe,3,7,14.1,,,,
2023-02-22,Pompe,4,6,14.1,,,,
2023-02-22,Pompe_I,1,7.5,8.1,,,,
2023-02-22,Pompe_I,2,7,8.1,,,,
2023-02-22,Pompe_I,3,7,8.1,,,,
2023-02-22,Pompe_I,4,6.5,8.1,,,,
2023-02-24,Traction_A,1,10,8.1,,,,
2023-02-24,Traction_A,2,9,8.1,,,,
2023-02-24,Traction_A,3,8,8.1,,,,
2023-02-24,Traction_A,4,6.5,8.1,,,,
2023-02-24,Traction_P,1,9,5.7,,,,
2023-02-24,Traction_P,2,7,5.7,,,,
2023-02-24,Traction_P,3,6,5.7,,,,
2023-02-24,Traction_P,4,5,5.7,,,,
2023-02-27,Pompe,1,10,14.1,,,,
2023-02-27,Pompe,2,9.5,14.1,,,,
2023-02-27,Pompe,3,8,14.1,,,,
2023-02-27,Pompe,4,7,14.1,,,,
2023-02-27,Pompe_I,1,10,8.1,,,,
2023-02-27,Pompe_I,2,9,8.1,,,,
2023-02-27,Pompe_I,3,8,8.1,,,,
2023-02-27,Pompe_I,4,6,8.1,,,,
2023-03-01,Traction_A,1,7,9.3,,,,
2023-03-01,Traction_A,2,6.5,9.3,,,,
2023-03-01,Traction_A,3,6.5,9.3,,,,
2023-03-01,Traction_A,4,5,9.3,,,,
2023-03-01,Traction_P,1,8,6.9,,,,
2023-03-01,Traction_P,2,6,6.9,,,,
2023-03-01,Traction_P,3,5,6.9,,,,
2023-03-01,Traction_P,4,4,6.9,,,,
2023-03-04,Pompe,1,8,15.3,,,,
2023-03-04,Pompe,2,7.5,15.3,,,,
2023-03-04,Pompe,3,6,15.3,,,,
2023-03-04,Pompe,4,5,15.3,,,,
2023-03-04,Pompe_I,1,7,9.3,,,,
2023-03-04,Pompe_I,2,6,9.3,,,,
2023-03-04,Pompe_I,3,6,9.3,,,,
2023-03-04,Pompe_I,4,5,9.3,,,,
2023-03-05,Traction_A,1,8.5,9.3,,,,
2023-03-05,Traction_A,2,7,9.3,,,,
2023-03-05,Traction_A,3,6,9.3,,,,
2023-03-05,Traction_A,4,5.5,9.3,,,,
2023-03-05,Traction_P,1,8,6.9,,,,
2023-03-05,Traction_P,2,6,6.9,,,,
2023-03-05,Traction_P,3,5,6.9,,,,
2023-03-05,Traction_P,4,4,6.9,,,,
2023-03-08,Pompe,1,9,15.3,,,,
2023-03-08,Pompe,2,9,15.3,,,,
2023-03-08,Pompe,3,7,15.3,,,,
2023-03-08,Pompe,4,5.5,15.3,,,,
2023-03-08,Pompe_I,1,7,9.3,,,,
2023-03-08,Pompe_I,2,7,9.3,,,,
2023-03-08,Pompe_I,3,6,9.3,,,,
2023-03-08,Pompe_I,4,5,9.3,,,,
2023-03-10,Traction_A,1,8,9.3,,,,
2023-03-10,Traction_A,2,7,9.3,,,,
2023-03-10,Traction_A,3,6.5,9.3,,,,
2023-03-10,Traction_A,4,5.5,9.3,,,,
2023-03-10,Traction_P,1,8,6.9,,,,
2023-03-10,Traction_P,2,6.5,6.9,,,,
2023-03-10,Traction_P,3,5,6.9,,,,
2023-03-10,Traction_P,4,4.5,6.9,,,,
2023-03-13,Pompe,1,10,15.3,,,,
2023-03-13,Pompe,2,9,15.3,,,,
2023-03-13,Pompe,3,7,15.3,,,,
2023-03-13,Pompe,4,6,15.3,,,,
2023-03-13,Pompe_I,1,9,9.3,,,,
2023-03-13,Pompe_I,2,8,9.3,,,,
2023-03-13,Pompe_I,3,6,9.3,,,,
2023-03-13,Pompe_I,4,5.5,9.3,,,,
2023-03-15,Traction_A,1,9,9.3,,,,
2023-03-15,Traction_A,2,7.5,9.3,,,,
2023-03-15,Traction_A,3,7,9.3,,,,
2023-03-15,Traction_A,4,6,9.3,,,,
2023-03-15,Traction_P,1,6,8.1,,,,
2023-03-15,Traction_P,2,5,8.1,,,,
2023-03-15,Traction_P,3,4,8.1,,,,
2023-03-15,Traction_P,4,3.5,8.1,,,,
2023-03-20,Pompe,1,10,15.3,,,,
2023-03-20,Pompe,2,8.5,15.3,,,,
2023-03-20,Pompe,3,8,15.3,,,,
2023-03-20,Pompe,4,6,15.3,,,,
2023-03-20,Pompe_I,1,9,9.3,,,,
2023-03-20,Pompe_I,2,8,9.3,,,,
2023-03-20,Pompe_I,3,7,9.3,,,,
2023-03-20,Pompe_I,4,6,9.3,,,,
2023-03-22,Traction_A,1,9.5,9.3,,,,
2023-03-22,Traction_A,2,8,9.3,,,,
2023-03-22,Traction_A,3,8,9.3,,,,
2023-03-22,Traction_A,4,6.5,9.3,,,,
2023-03-22,Traction_P,1,7,8.1,,,,
2023-03-22,Traction_P,2,5,8.1,,,,
2023-03-22,Traction_P,3,4.3,8.1,,,,
2023-03-22,Traction_P,4,3.9,8.1,,,,
2023-03-27,Traction_A,1,7.5,10.5,,,,
2023-03-27,Traction_A,2,7,10.5,,,,
2023-03-27,Traction_A,3,6.5,10.5,,,,
2023-03-27,Traction_A,4,5,10.5,,,,
2023-03-27,Traction_P,1,7.5,8.1,,,,
2023-03-27,Traction_P,2,5.3,8.1,,,,
2023-03-27,Traction_P,3,4.3,8.1,,,,
2023-03-27,Traction_P,4,4,8.1,,,,
2023-03-29,Pompe,1,10,15.3,,,,
2023-03-29,Pompe,2,9,15.3,,,,
2023-03-29,Pompe,3,8,15.3,,,,
2023-03-29,Pompe,4,6,15.3,,,,
2023-03-29,Pompe_I,1,9,9.3,,,,
2023-03-29,Pompe_I,2,7,9.3,,,,
2023-03-29,Pompe_I,3,6.5,9.3,,,,
2023-03-29,Pompe_I,4,5.5,9.3,,,,
2023-03-31,Traction_A,1,8,10.5,,,,
2023-03-31,Traction_A,2,7.5,10.5,,,,
2023-03-31,Traction_A,3,7,10.5,,,,
2023-03-31,Traction_A,4,6,10.5,,,,
2023-03-31,Traction_P,1,7.5,8.1,,,,
2023-03-31,Traction_P,2,5.5,8.1,,,,
2023-03-31,Traction_P,3,4.5,8.1,,,,
2023-03-31,Traction_P,4,4,8.1,,,,
2023-04-02,Pompe,1,8,16.5,,,,
2023-04-02,Pompe,2,7,16.5,,,,
2023-04-02,Pompe,3,6,16.5,,,,
2023-04-02,Pompe,4,5,16.5,,,,
2023-04-02,Pompe_I,1,10,9.3,,,,
2023-04-02,Pompe_I,2,9,9.3,,,,
2023-04-02,Pompe_I,3,7,9.3,,,,
2023-04-02,Pompe_I,4,6,9.3,,,,
2023-04-04,Traction_A,1,9,10.5,,,,
2023-04-04,Traction_A,2,8,10.5,,,,
2023-04-04,Traction_A,3,7.5,10.5,,,,
2023-04-04,Traction_A,4,6.5,10.5,,,,
2023-04-04,Traction_P,1,8,8.1,,,,
2023-04-04,Traction_P,2,6,8.1,,,,
2023-04-04,Traction_P,3,5,8.1,,,,
2023-04-04,Traction_P,4,4.5,8.1,,,,
2023-04-06,Pompe,1,10,16.5,,,,
2023-04-06,Pompe,2,9,16.5,,,,
2023-04-06,Pompe,3,8,16.5,,,,
2023-04-06,Pompe,4,7,16.5,,,,
2023-04-06,Pompe_I,1,9,10.5,,,,
2023-04-06,Pompe_I,2,7.5,10.5,,,,
2023-04-06,Pompe_I,3,6,10.5,,,,
2023-04-06,Pompe_I,4,6,10.5,,,,
2023-04-12,Traction_A,1,9,10.5,,,,
2023-04-12,Traction_A,2,8,10.5,,,,
2023-04-12,Traction_A,3,7.5,10.5,,,,
2023-04-12,Traction_A,4,7,10.5,,,,
2023-04-12,Traction_P,1,8,8.1,,,,
2023-04-12,Traction_P,2,6.5,8.1,,,,
2023-04-12,Traction_P,3,5,8.1,,,,
2023-04-12,Traction_P,4,4.7,8.1,,,,
2023-04-13,Pompe,1,10,16.5,,,,
2023-04-13,Pompe,2,9,16.5,,,,
2023-04-13,Pompe,3,8,16.5,,,,
2023-04-13,Pompe,4,6,16.5,,,,
2023-04-13,Pompe_I,1,8,10.5,,,,
2023-04-13,Pompe_I,2,7,10.5,,,,
2023-04-13,Pompe_I,3,6,10.5,,,,
2023-04-13,Pompe_I,4,4.5,10.5,,,,
2023-04-17,Traction_A,1,9,10.5,,,,
2023-04-17,Traction_A,2,8.5,10.5,,,,
2023-04-17,Traction_A,3,7.5,10.5,,,,
2023-04-17,Traction_A,4,7,10.5,,,,
2023-04-17,Traction_P,1,9,8.1,,,,
2023-04-17,Traction_P,2,7,8.1,,,,
2023-04-17,Traction_P,3,5.5,8.1,,,,
2023-04-17,Traction_P,4,4.5,8.1,,,,
2023-04-18,Pompe,1,10.5,16.5,,,,
2023-04-18,Pompe,2,10,16.5,,,,
2023-04-18,Pompe,3,8.5,16.5,,,,
2023-04-18,Pompe,4,7,16.5,,,,
2023-04-18,Pompe_I,1,9,10.5,,,,
2023-04-18,Pompe_I,2,8,10.5,,,,
2023-04-18,Pompe_I,3,6,10.5,,,,
2023-04-18,Pompe_I,4,5.5,10.5,,,,
2023-04-24,Traction_A,1,9.5,10.5,,,,
2023-04-24,Traction_A,2,9,10.5,,,,
2023-04-24,Traction_A,3,8,10.5,,,,
2023-04-24,Traction_A,4,7.5,10.5,,,,
2023-04-24,Traction_P,1,9,8.1,,,,
2023-04-24,Traction_P,2,7,8.1,,,,
2023-04-24,Traction_P,3,5,8.1,,,,
2023-04-24,Traction_P,4,4,8.1,,,,
2023-04-26,Pompe,1,10.5,16.5,,,,
2023-04-26,Pompe,2,9.5,16.5,,,,
2023-04-26,Pompe,3,8,16.5,,,,
2023-04-26,Pompe,4,6,16.5,,,,
2023-04-26,Pompe_I,1,8.5,10.5,,,,
2023-04-26,Pompe_I,2,7,10.5,,,,
2023-04-26,Pompe_I,3,5,10.5,,,,
2023-04-26,Pompe_I,4,4,10.5,,,,
2023-05-05,Pompe,1,11,16.5,,,,
2023-05-05,Pompe,2,10,16.5,,,,
2023-05-05,Pompe,3,9,16.5,,,,
2023-05-05,Pompe,4,7,16.5,,,,
2023-05-05,Pompe_I,1,9,10.5,,,,
2023-05-05,Pompe_I,2,8,10.5,,,,
2023-05-05,Pompe_I,3,7,10.5,,,,
2023-05-05,Pompe_I,4,6,10.5,,,,
2023-05-07,Traction_A,1,8,11.7,,,,
2023-05-07,Traction_A,2,7.5,11.7,,,,
2023-05-07,Traction_A,3,7,11.7,,,,
2023-05-07,Traction_A,4,6.5,11.7,,,,
2023-05-07,Traction_P,1,5,9.3,,,,
2023-05-07,Traction_P,2,4,9.3,,,,
2023-05-07,Traction_P,3,4,9.3,,,,
2023-05-07,Traction_P,4,3.5,9.3,,,,
2023-05-10,Traction_A,1,10,11.7,,,,
2023-05-10,Traction_A,2,9.5,11.7,,,,
2023-05-10,Traction_A,3,8.5,11.7,,,,
2023-05-10,Traction_A,4,7.5,11.7,,,,
2023-05-10,Traction_P,1,7,9.3,,,,
2023-05-10,Traction_P,2,5.5,9.3,,,,
2023-05-10,Traction_P,3,4.5,9.3,,,,
2023-05-10,Traction_P,4,4.5,9.3,,,,
2023-05-12,Pompe,1,9,17.7,,,,
2023-05-12,Pompe,2,8,17.7,,,,
2023-05-12,Pompe,3,6,17.7,,,,
2023-05-12,Pompe,4,4.5,17.7,,,,
2023-05-12,Pompe_I,1,10,10.5,,,,
2023-05-12,Pompe_I,2,9,10.5,,,,
2023-05-12,Pompe_I,3,7,10.5,,,,
2023-05-12,Pompe_I,4,6,10.5,,,,
2023-05-16,Traction_A,1,9.5,11.7,,,,
2023-05-16,Traction_A,2,9,11.7,,,,
2023-05-16,Traction_A,3,8,11.7,,,,
2023-05-16,Traction_A,4,8,11.7,,,,
2023-05-16,Traction_P,1,6.5,9.3,,,,
2023-05-16,Traction_P,2,5,9.3,,,,
2023-05-16,Traction_P,3,4,9.3,,,,
2023-05-16,Traction_P,4,4,9.3,,,,
2023-05-17,Pompe,1,10,17.7,,,,
2023-05-17,Pompe,2,8,17.7,,,,
2023-05-17,Pompe,3,6.5,17.7,,,,
2023-05-17,Pompe,4,5,17.7,,,,
2023-05-17,Pompe_I,1,9,11.7,,,,
2023-05-17,Pompe_I,2,8,11.7,,,,
2023-05-17,Pompe_I,3,6,11.7,,,,
2023-05-17,Pompe_I,4,5,11.7,,,,
2023-05-23,Traction_A,1,9.5,11.7,,,,
2023-05-23,Traction_A,2,8,11.7,,,,
2023-05-23,Traction_A,3,7,11.7,,,,
2023-05-23,Traction_A,4,6.5,11.7,,,,
2023-05-23,Traction_P,1,6,9.3,,,,
2023-05-23,Traction_P,2,5.5,9.3,,,,
2023-05-23,Traction_P,3,4,9.3,,,,
2023-05-23,Traction_P,4,4,9.3,,,,
2023-05-25,Pompe,1,10,17.7,,,,
2023-05-25,Pompe,2,8,17.7,,,,
2023-05-25,Pompe,3,7,17.7,,,,
2023-05-25,Pompe,4,5,17.7,,,,
2023-05-25,Pompe_I,1,9,11.7,,,,
2023-05-25,Pompe_I,2,7,11.7,,,,
2023-05-25,Pompe_I,3,6,11.7,,,,
2023-05-25,Pompe_I,4,5,11.7,,,,
2023-05-28,Traction_A,1,10,11.7,,,,
2023-05-28,Traction_A,2,9,11.7,,,,
2023-05-28,Traction_A,3,8.5,11.7,,,,
2023-05-28,Traction_A,4,8,11.7,,,,
2023-05-28,Traction_P,1,8,9.3,,,,
2023-05-28,Traction_P,2,6.5,9.3,,,,
2023-05-28,Traction_P,3,5,9.3,,,,
2023-05-28,Traction_P,4,4,9.3,,,,
2023-05-29,Pompe,1,11,17.7,,,,
2023-05-29,Pompe,2,9,17.7,,,,
2023-05-29,Pompe,3,8,17.7,,,,
2023-05-29,Pompe,4,6,17.7,,,,
2023-05-29,Pompe_I,1,9,11.7,,,,
2023-05-29,Pompe_I,2,7.5,11.7,,,,
2023-05-29,Pompe_I,3,6,11.7,,,,
2023-05-29,Pompe_I,4,5,11.7,,,,
2023-06-01,Traction_A,1,8.5,12.9,,,,
2023-06-01,Traction_A,2,7.5,12.9,,,,
2023-06-01,Traction_A,3,7,12.9,,,,
2023-06-01,Traction_A,4,6.5,12.9,,,,
2023-06-01,Traction_P,1,8,9.3,,,,
2023-06-01,Traction_P,2,7,9.3,,,,
2023-06-01,Traction_P,3,5,9.3,,,,
2023-06-01,Traction_P,4,4.5,9.3,,,,
2023-06-03,Pompe,1,8,18.9,,,,
2023-06-03,Pompe,2,7,18.9,,,,
2023-06-03,Pompe,3,5,18.9,,,,
2023-06-03,Pompe,4,4,18.9,,,,
2023-06-03,Pompe_I,1,10,11.7,,,,
2023-06-03,Pompe_I,2,8,11.7,,,,
2023-06-03,Pompe_I,3,7,11.7,,,,
2023-06-03,Pompe_I,4,5.5,11.7,,,,
2023-06-06,Traction_A,1,9,12.9,,,,
2023-06-06,Traction_A,2,8,12.9,,,,
2023-06-06,Traction_A,3,7.5,12.9,,,,
2023-06-06,Traction_A,4,6.5,12.9,,,,
2023-06-06,Traction_P,1,8,9.3,,,,
2023-06-06,Traction_P,2,7,9.3,,,,
2023-06-06,Traction_P,3,5.5,9.3,,,,
2023-06-06,Traction_P,4,4,9.3,,,,
2023-06-18,Traction_A,1,9,12.9,,,,
2023-06-18,Traction_A,2,7.5,12.9,,,,
2023-06-18,Traction_A,3,7,12.9,,,,
2023-06-18,Traction_A,4,6.5,12.9,,,,
2023-06-18,Traction_P,1,8,9.3,,,,
2023-06-18,Traction_P,2,6,9.3,,,,
2023-06-18,Traction_P,3,5,9.3,,,,
2023-06-18,Traction_P,4,4,9.3,,,,
2023-06-27,Pompe,1,10,17.7,,,,
2023-06-27,Pompe,2,9,17.7,,,,
2023-06-27,Pompe,3,8,17.7,,,,
2023-06-27,Pompe,4,6,17.7,,,,
2023-06-27,Dips,1,7,0,,,,
2023-06-27,Dips,2,7,0,,,,
2023-06-27,Dips,3,8,0,,,,
2023-06-27,Dips,4,7,0,,,,
2023-06-27,Pompe_I,1,4,11.7,,,,
2023-06-27,Pompe_I,2,3.5,11.7,,,,
2023-06-27,Pompe_I,3,3,11.7,,,,
2023-06-27,Pompe_I,4,3.5,11.7,,,,
2023-06-29,Traction_A,1,8.5,12.9,,,,
2023-06-29,Traction_A,2,7.5,12.9,,,,
2023-06-29,Traction_A,3,7,12.9,,,,
2023-06-29,Traction_A,4,6.5,12.9,,,,
2023-06-29,Traction_P,1,8,9.3,,,,
2023-06-29,Traction_P,2,6,9.3,,,,
2023-06-29,Traction_P,3,5,9.3,,,,
2023-06-29,Traction_P,4,4,9.3,,,,
2023-07-01,Pompe,1,7,18.9,,,,
2023-07-01,Pompe,2,6,18.9,,,,
2023-07-01,Pompe,3,5,18.9,,,,
2023-07-01,Pompe,4,4,18.9,,,,
2023-07-01,Dips,1,8,0,,,,
2023-07-01,Dips,2,8,0,,,,
2023-07-01,Dips,3,8,0,,,,
2023-07-01,Dips,4,8,0,,,,
2023-07-01,Pompe_I,1,7,10.5,,,,
2023-07-01,Pompe_I,2,6,10.5,,,,
2023-07-01,Pompe_I,3,5,10.5,,,,
2023-07-01,Pompe_I,4,4,10.5,,,,
2023-07-04,Traction_A,1,9,12.9,,,,
2023-07-04,Traction_A,2,8,12.9,,,,
2023-07-04,Traction_A,3,7.5,12.9,,,,
2023-07-04,Traction_A,4,7,12.9,,,,
2023-07-04,Traction_P,1,8,9.3,,,,
2023-07-04,Traction_P,2,6,9.3,,,,
2023-07-04,Traction_P,3,5,9.3,,,,
2023-07-04,Traction_P,4,4,9.3,,,,
2023-07-10,Pompe,1,7,18.9,,,,
2023-07-10,Pompe,2,6.5,18.9,,,,
2023-07-10,Pompe,3,6,18.9,,,,
2023-07-10,Pompe,4,5,18.9,,,,
2023-07-10,Dips,1,6,5.7,,,,
2023-07-10,Dips,2,6,5.7,,,,
2023-07-10,Dips,3,6,5.7,,,,
2023-07-10,Dips,4,5,5.7,,,,
2023-07-10,Pompe_I,1,8,10.5,,,,
2023-07-10,Pompe_I,2,6.5,10.5,,,,
2023-07-10,Pompe_I,3,5,10.5,,,,
2023-07-10,Pompe_I,4,4,10.5,,,,
2023-07-11,Traction_A,1,9.5,12.9,,,,
2023-07-11,Traction_A,2,8,12.9,,,,
2023-07-11,Traction_A,3,7.5,12.9,,,,
2023-07-11,Traction_A,4,7,12.9,,,,
2023-07-11,Traction_P,1,8.5,9.3,,,,
2023-07-11,Traction_P,2,6,9.3,,,,
2023-07-11,Traction_P,3,5,9.3,,,,
2023-07-11,Traction_P,4,3.5,9.3,,,,
2023-07-14,Pompe,1,7,18.9,,,,
2023-07-14,Pompe,2,7,18.9,,,,
2023-07-14,Pompe,3,6.5,18.9,,,,
2023-07-14,Pompe,4,5,18.9,,,,
2023-07-14,Dips,1,6,6.9,,,,
2023-07-14,Dips,2,6,6.9,,,,
2023-07-14,Dips,3,5,6.9,,,,
2023-07-14,Dips,4,4,6.9,,,,
2023-07-16,Traction_A,1,9.5,12.9,,,,
2023-07-16,Traction_A,2,8,12.9,,,,
2023-07-16,Traction_A,3,7,12.9,,,,
2023-07-16,Traction_A,4,6,12.9,,,,
2023-07-16,Traction_P,1,9,9.3,,,,
2023-07-16,Traction_P,2,7,9.3,,,,
2023-07-16,Traction_P,3,6,9.3,,,,
2023-07-16,Traction_P,4,4,9.3,,,,
2023-07-19,Pompe,1,8,18.9,,,,
2023-07-19,Pompe,2,7,18.9,,,,
2023-07-19,Pompe,3,6,18.9,,,,
2023-07-19,Pompe,4,5,18.9,,,,
2023-07-19,Dips,1,7,8.1,,,,
2023-07-19,Dips,2,6,8.1,,,,
2023-07-19,Dips,3,5,8.1,,,,
2023-07-19,Dips,4,5,8.1,,,,
2023-07-21,Traction_A,1,7,14.1,,,,
2023-07-21,Traction_A,2,6,14.1,,,,
2023-07-21,Traction_A,3,5,14.1,,,,
2023-07-21,Traction_A,4,4.5,14.1,,,,
2023-07-21,Traction_P,1,6,10.5,,,,
2023-07-21,Traction_P,2,5,10.5,,,,
2023-07-21,Traction_P,3,4,10.5,,,,
2023-07-21,Traction_P,4,4,10.5,,,,
2023-09-12,Pompe,1,10,16.5,,,,
2023-09-12,Pompe,2,9,16.5,,,,
2023-09-12,Pompe,3,8,16.5,,,,
2023-09-12,Pompe,4,6,16.5,,,,
2023-09-12,Dips,1,7,5.7,,,,
2023-09-12,Dips,2,6,5.7,,,,
2023-09-12,Dips,3,5,5.7,,,,
2023-09-12,Dips,4,5,5.7,,,,
2023-09-14,Traction_A,1,8,12.9,,,,
2023-09-14,Traction_A,2,7.5,12.9,,,,
2023-09-14,Traction_A,3,7,12.9,,,,
2023-09-14,Traction_A,4,6,12.9,,,,
2023-09-14,Traction_P,1,6,9.3,,,,
2023-09-14,Traction_P,2,5,9.3,,,,
2023-09-14,Traction_P,3,4.5,9.3,,,,
2023-09-14,Traction_P,4,3,9.3,,,,
2023-09-19,Pompe,1,8,17.7,,,,
2023-09-19,Pompe,2,7,17.7,,,,
2023-09-19,Pompe,3,6.5,17.7,,,,
2023-09-19,Pompe,4,0,17.7,,,,
2023-09-19,Dips,1,7,5.7,,,,
2023-09-19,Dips,2,7,5.7,,,,
2023-09-19,Dips,3,6,5.7,,,,
2023-09-19,Dips,4,5,5.7,,,,
2023-09-19,Pompe_I,1,7.5,9.3,,,,
2023-09-19,Pompe_I,2,7,9.3,,,,
2023-09-19,Pompe_I,3,6,9.3,,,,
2023-09-19,Pompe_I,4,5,9.3,,,,
2023-09-20,Traction_A,1,6,14.1,,,,
2023-09-20,Traction_A,2,5.5,14.1,,,,
2023-09-20,Traction_A,3,5,14.1,,,,
2023-09-20,Traction_A,4,5,14.1,,,,
2023-09-20,Traction_P,1,7,9.3,,,,
2023-09-20,Traction_P,2,5.5,9.3,,,,
2023-09-20,Traction_P,3,4.5,9.3,,,,
2023-09-20,Traction_P,4,4,9.3,,,,
2023-09-26,Pompe,1,8,17.7,,,,
2023-09-26,Pompe,2,7,17.7,,,,
2023-09-26,Pompe,3,5,17.7,,,,
2023-09-26,Pompe,4,4,17.7,,,,
2023-09-26,Dips,1,6,8.1,,,,
2023-09-26,Dips,2,5,8.1,,,,
2023-09-26,Dips,3,5,8.1,,,,
2023-09-26,Dips,4,4,8.1,,,,
2023-09-26,Pompe_I,1,9,9.3,,,,
2023-09-26,Pompe_I,2,8,9.3,,,,
2023-09-26,Pompe_I,3,7,9.3,,,,
2023-09-26,Pompe_I,4,6,9.3,,,,
2023-09-27,Traction_A,1,7,14.1,,,,
2023-09-27,Traction_A,2,6.5,14.1,,,,
2023-09-27,Traction_A,3,6,14.1,,,,
