exercise_id,name,muscle_group,primary_group,secondary_group,type
1,Pompe,Unknown,,,bodyweight
2,Dips,Unknown,,,bodyweight
3,Traction_A,Unknown,,,bodyweight
4,Traction_P,Unknown,,,bodyweight
